Time,Volt
"-0,3625",-16.732062E-03
"-0,36",-15.896653E-03
"-0,3575",-16.213882E-03
"-0,355",-16.213882E-03
"-0,3525",-15.990641E-03
"-0,35",-16.261064E-03
"-0,3475",-16.254675E-03
"-0,345",-16.320521E-03
"-0,3425",-16.546742E-03
"-0,34",-16.352091E-03
"-0,3375",-16.245362E-03
"-0,335",-16.443025E-03
"-0,3325",-16.842022E-03
"-0,33",-16.144805E-03
"-0,3275",-16.452557E-03
"-0,325",-16.559507E-03
"-0,3225",-16.465231E-03
"-0,32",-16.568763E-03
"-0,3175",-16.010108E-03
"-0,315",-15.896783E-03
"-0,3125",-17.077482E-03
"-0,31",-16.597179E-03
"-0,3075",-16.053649E-03
"-0,305",-16.487104E-03
"-0,3025",-16.534290E-03
"-0,3",-16.417990E-03
"-0,2975",-16.672349E-03
"-0,295",-16.154170E-03
"-0,2925",-16.571884E-03
"-0,29",-16.518492E-03
"-0,2875",-16.527952E-03
"-0,285",-16.527952E-03
"-0,2825",-16.553155E-03
"-0,28",-15.881025E-03
"-0,2775",-16.119757E-03
"-0,275",-16.543597E-03
"-0,2725",-16.656838E-03
"-0,27",-16.094359E-03
"-0,2675",-16.804256E-03
"-0,265",-16.744778E-03
"-0,2625",-16.135266E-03
"-0,26",-16.515508E-03
"-0,2575",-16.496446E-03
"-0,255",-16.289318E-03
"-0,2525",-16.345752E-03
"-0,25",-15.742796E-03
"-0,2475",-16.310964E-03
"-0,245",-16.367716E-03
"-0,2425",-15.793168E-03
"-0,24",-16.650359E-03
"-0,2375",-16.700610E-03
"-0,235",-16.308204E-03
"-0,2325",-16.675585E-03
"-0,23",-16.323705E-03
"-0,2275",-16.556340E-03
"-0,225",-16.700548E-03
"-0,2225",-16.703852E-03
"-0,22",-16.424227E-03
"-0,2175",-16.678726E-03
"-0,215",-16.666164E-03
"-0,2125",-16.135364E-03
"-0,21",-16.687942E-03
"-0,2075",-16.989553E-03
"-0,205",-16.556281E-03
"-0,2025",-16.829543E-03
"-0,2",-16.276821E-03
"-0,1975",-16.697425E-03
"-0,195",-16.644179E-03
"-0,1925",-16.415055E-03
"-0,19",-16.144934E-03
"-0,1875",-17.234420E-03
"-0,185",-16.160447E-03
"-0,1825",-16.581365E-03
"-0,18",-16.521586E-03
"-0,1775",-16.876655E-03
"-0,175",-16.810573E-03
"-0,1725",-16.669177E-03
"-0,17",-16.393030E-03
"-0,1675",-16.383544E-03
"-0,165",-16.622065E-03
"-0,1625",-16.292291E-03
"-0,16",-16.725773E-03
"-0,1575",-16.452857E-03
"-0,155",-16.418136E-03
"-0,1525",-16.779099E-03
"-0,15",-16.732229E-03
"-0,1475",-16.691422E-03
"-0,145",-16.546972E-03
"-0,1425",-16.684987E-03
"-0,14",-16.169670E-03
"-0,1375",-16.653514E-03
"-0,135",-16.952168E-03
"-0,1325",-15.937522E-03
"-0,13",-16.502804E-03
"-0,1275",-16.370917E-03
"-0,125",-16.213949E-03
"-0,1225",-16.512137E-03
"-0,12",-16.323918E-03
"-0,1175",-16.521581E-03
"-0,115",-16.744458E-03
"-0,1125",-16.214107E-03
"-0,11",-16.125874E-03
"-0,1075",-16.735306E-03
"-0,105",-15.918474E-03
"-0,1025",-15.934336E-03
"-0,1",-16.386689E-03
"-0,0975",-16.352050E-03
"-0,095",-16.201273E-03
"-0,0925",-16.750988E-03
"-0,09",-16.201526E-03
"-0,0875",-16.559451E-03
"-0,085",-16.223258E-03
"-0,0825",-16.279906E-03
"-0,08",-16.433499E-03
"-0,0775",-16.047494E-03
"-0,075",-16.308196E-03
"-0,0725",-16.386737E-03
"-0,07",-16.402441E-03
"-0,0675",-15.912679E-03
"-0,065",-16.439848E-03
"-0,0625",-15.899976E-03
"-0,06",-16.449434E-03
"-0,0575",-16.603258E-03
"-0,055",-16.207506E-03
"-0,0525",-16.223114E-03
"-0,05",-16.166700E-03
"-0,0475",-16.229704E-03
"-0,045",-16.660124E-03
"-0,0425",-16.615796E-03
"-0,04",-16.389857E-03
"-0,0375",-16.433899E-03
"-0,035",-16.625338E-03
"-0,0325",-15.937644E-03
"-0,03",-16.191680E-03
"-0,0275",-16.785562E-03
"-0,025",-16.355044E-03
"-0,0225",-16.015823E-03
"-0,02",-16.540442E-03
"-0,0175",-15.620581E-03
"-0,015",-16.012608E-03
"-0,0125",-16.653384E-03
"-0,01",-16.238713E-03
"-0,0075",-16.254686E-03
"-0,005",-16.295466E-03
"-0,0025",-16.317574E-03
-0.0E+00,+988.117505E-03
"0,0025",+1.022566598E+00
"0,005",+1.014708556E+00
"0,0075",+1.004262624E+00
"0,01",+991.287903E-03
"0,0125",+978.727902E-03
"0,015",+961.689758E-03
"0,0175",+943.900635E-03
"0,02",+925.552767E-03
"0,0225",+906.501232E-03
"0,025",+886.626404E-03
"0,0275",+864.054012E-03
"0,03",+840.583581E-03
"0,0325",+817.194911E-03
"0,035",+792.737944E-03
"0,0375",+766.573044E-03
"0,04",+741.839848E-03
"0,0425",+714.565796E-03
"0,045",+686.456341E-03
"0,0475",+658.912675E-03
"0,05",+629.465152E-03
"0,0525",+598.422640E-03
"0,055",+568.755654E-03
"0,0575",+538.410328E-03
"0,06",+507.323227E-03
"0,0625",+475.460033E-03
"0,065",+444.085283E-03
"0,0675",+410.064502E-03
"0,07",+378.070749E-03
"0,0725",+345.246678E-03
"0,075",+310.620888E-03
"0,0775",+279.157158E-03
"0,08",+245.033646E-03
"0,0825",+211.207686E-03
"0,085",+177.583837E-03
"0,0875",+144.932867E-03
"0,09",+112.131090E-03
"0,0925",+78.874573E-03
"0,095",+45.963137E-03
"0,0975",+14.766764E-03
"0,1",-15.682281E-03
"0,1025",-45.088719E-03
"0,105",-77.727368E-03
"0,1075",-108.279896E-03
"0,11",-139.219373E-03
"0,1125",-170.315645E-03
"0,115",-199.734216E-03
"0,1175",-228.936833E-03
"0,12",-257.755717E-03
"0,1225",-284.957111E-03
"0,125",-313.562752E-03
"0,1275",-341.577642E-03
"0,13",-367.349796E-03
"0,1325",-392.610751E-03
"0,135",-416.545974E-03
"0,1375",-441.326019E-03
"0,14",-464.193622E-03
"0,1425",-485.973911E-03
"0,145",-508.015509E-03
"0,1475",-527.600994E-03
"0,15",-546.460591E-03
"0,1525",-566.196941E-03
"0,155",-584.428811E-03
"0,1575",-602.893121E-03
"0,16",-618.957156E-03
"0,1625",-633.960549E-03
"0,165",-648.150027E-03
